COURSE,TITLE,MEETING INFORMATION,FACULTY NAME,COMMENT
CH-231-02,Organic Chemistry I,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. F. Mayville,
CH-231L-1L,CH-231 Lab,08/24/22 12/09/22                 LAB  T  08:00AM 10:50AM,Dr. F. Mayville,
CH-231L-2L,CH-231 Lab,08/24/22 12/09/22                 LAB  T  02:00PM 04:50PM,Dr. F. Mayville,
CH-231L-3L,CH-231 Lab,08/24/22 12/09/22                 LAB  R  08:00AM 10:50AM,Dr. F. Mayville,
CH-231L-4L,CH-231 Lab,08/24/22 12/09/22                 LAB  R  02:00PM 04:50PM,Dr. F. Mayville,
CH-351-01,Physical Chemistry I,08/24/22 12/09/22        LEC  MWF 10:00AM 10:50AM LEC  W  02:00PM 02:50PM ,Dr. S. Hayik,
CH-351L-1L,CH-351 Lab,08/24/22 12/09/22                 LAB  T  02:00PM 04:50PM,Dr. S. Hayik,
CH-353-01,Physical Chemistry I (no lab),08/24/22 12/09/22    LEC  MWF 10:00AM 10:50AM LEC  W  02:00PM 02:50PM,Dr. S. Hayik, 
CH-396-01,Chemistry Internship,,,See Career Development Center
CH-435-01,Biochemistry I,08/24/22 12/09/22                    LEC  MWF 11:00AM 11:50AM,Dr. J. Himmelberger,
CH-435L-1L,CH-435 Lab,08/24/22 12/09/22                       LAB  R  02:00PM 05:00PM,Dr. J. Himmelberger,
CH-455-01,Research Seminar,08/24/22 12/09/22                  LEC  TR 09:30AM 10:45AM,Dr. J. Himmelberger,
CH-461-01,Research,08/24/22 12/09/22                          LAB  ,Dr. R. Berg,Permission of Instructor required
CH-461-02,Research,08/24/22 12/09/22                          LAB  ,Dr. S. Hayik,Permission of Instructor required
CH-461-03,Research,08/24/22 12/09/22                          LAB  ,Dr. J. Himmelberger,Permission of Instructor required
CH-461-04,Research,08/24/22 12/09/22                          LAB  ,Dr. F. Mayville,Permission of Instructor required
CH-4611-01,Research,08/24/22 12/09/22                         LAB  ,,See Department Chair to register
CH-499-01,Independent Study,,,Must submit Ind. Study form 
CJ-100-01,Cybercrime,08/24/22 12/09/22                        LEC  MWF 11:00AM 11:50AM,Dr. A. Yayla,
CJ-100-02,Cybercrime,08/24/22 12/09/22                          LEC  MWF 02:00PM 02:50PM,Dr. A. Yayla,
CJ-109-01,Crime and Society,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,Mr. D. Seip,MOT SS
CJ-109-02,Crime and Society,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. J. Clutter,MOT SS
CJ-109-03,Crime and Society,08/24/22 12/09/22         LEC  TR 11:00AM 12:15PM,Mr. D. Seip,MOT SS
